식당 이름,식당 주소
제주어항1950,서울 서초구 방배로 189 1층
디저트 39,서울 서초구 서초대로 12
족발의발견,서울 동작구 동작대로1길 32 1층
어울림정육식당,서울 서초구 방배천로2길 25 상원빌딩 1층
탕마루,서울 동작구 동작대로29가길 10
최고의형제,서울 동작구 동작대로27가길 21 1층
맘스터치 이수점,서울 동작구 동작대로27길 15 서범빌딩 2층
남오토코 이수역점,서울 동작구 동작대로27다길 42 1층
BHC치킨 이수점,"서울 서초구 서초대로 3-4 디오슈페리움1차 104,104-1호"
힘쎈대머리고창풍천장어,서울 동작구 동작대로25길 34
김채원24시감자탕 사당본점,서울 동작구 동작대로3길 14
새퍼커피,서울 서초구 서초대로4길 17 1층
빽다방 총신대입구역점,서울 서초구 동작대로 128 1층
이수치막,서울 동작구 동작대로27나길 12 1층
이수면가 본점,"서울 서초구 서초대로 3-4 방배디오슈페리움1 1층 102,102-1호"
파리바게뜨 이수태평점,"서울 동작구 동작대로27가길 6 백경빌딩 1층 101,102호"
청정동해,서울 서초구 방배천로 40-2
이디야커피 총신대입구역점,서울 동작구 동작대로 119-1 2층
따올라이,서울 서초구 방배중앙로 149
비엔나커피하우스 방배점,서울 서초구 방배로 126 석하빌딩
사당광안리,서울 동작구 동작대로7길 5 1층
샌드리아 이수역점,서울 서초구 동광로12가길 34
강원도감자탕쌈밥,서울 동작구 사당로30길 108
사당김밥 이수점,서울 동작구 동작대로25길 40
나인피스그릴,서울 서초구 방배천로4길 28 연웅빌딩 1층
청년치킨 사당점,서울 동작구 사당로30길 96 1층
전주남부시장콩나물국밥,서울 서초구 방배천로16길 3 1층
택이네조개전골 사당점,서울 동작구 사당로17가길 13 2층
취향마라 이수역점,서울 서초구 동작대로 108 디오슈페리움2 1층 105호
미인참치,서울 서초구 방배천로2길 2
바오로흑염소농장,서울 서초구 방배천로 12-9 1층
오우아,서울 서초구 방배천로6길 3-4 1층
이모네막국수,서울 동작구 동작대로17길 6-4
동대문엽기떡볶이 이수역점,서울 동작구 사당로 300 125호
오감쭈꾸미,서울 서초구 방배천로 12-11 1층
오봉집 사당점,서울 동작구 사당로29길 1 1층
븟다,서울 동작구 사당로30길 25 메종슈에뜨이수 1층 102호
경복궁 사당점,"서울 서초구 방배천로 11 파스텔시티 602,603호"
이수오뎅 본점,서울 동작구 동작대로25길 27 1층
쁘띠우스베이커리,"서울 동작구 사당로 300 이수자이 104,105,107,108호"
뽕잎사랑 이수점,서울 동작구 동작대로27가길 22
후지스시,서울 동작구 동작대로29가길 23 1층
오뎅판다 이수역점,서울 동작구 동작대로27가길 32
토담골,서울 동작구 사당로30길 131
김봉남포장마차 사당역1호점,서울 동작구 사당로30길 115 2층
종부네,서울 동작구 동작대로27가길 37 2층
윤공,서울 동작구 동작대로7길 49 1층
백미당 서송타워점,서울 동작구 동작대로 137
스마일포차,서울 서초구 방배중앙로 191 1층
돝플러스,서울 서초구 서초대로25길 55 1층
철길 부산집 이수점,서울 동작구 동작대로27다길 29 서광시티뷰 1층 102호
육감 방배본점,서울 서초구 효령로 19
바른치킨 이수역점,서울 동작구 동작대로27다길 14
쏘맥의달인,서울 동작구 동작대로27길 16-6 2층
담소소사골순대육개장 이수역점,서울 서초구 서초대로 12 세양아르비채 101동 1층
강원도감자옹심이,서울 동작구 사당로30길 63
박가네소문난전집,서울 동작구 동작대로25길 28 1층
배스킨라빈스 이수역점,서울 동작구 동작대로27길 15 1층 101호
김명자당진동태아구찜탕,서울 동작구 사당로 229-1
금별맥주 이수점,서울 동작구 동작대로27나길 21
달비촌대구막창,서울 동작구 동작대로1길 52
이누식당,서울 서초구 서초대로27길 33 1층
달콤커피 이수역점,서울 동작구 동작대로 101 1층
몰랑이수,서울 동작구 동작대로29길 24
돌담,서울 동작구 동작대로27다길 12 2층
매드포갈릭 사당점,서울 서초구 방배천로 11 파스텔시티 2층
